Subject,Date,Hours
python,1/1/21,7.82
python,1/2/21,2.7
python,1/2/21,1.55
python,1/3/21,3.5
work_out,1/1/21,0.0
work_out,1/2/21,0.0
cfa,1/1/21,0.0
cfa,1/2/21,0.0
cfa,1/3/21,0.0
dvorak,1/1/21,0.0
dvorak,1/2/21,0.0
dvorak,1/3/21,0.0
dvorak,1/4/21,0.68
dvorak,1/4/21,0.68
norsk,1/1/21,0.0
norsk,1/3/21,0.0
read,1/1/21,0.0
read,1/2/21,0.0
read,1/3/21,0.58
python,1/4/21,3.0
dvorak,1/4/21,1.5
cfa,1/4/21,0.0
work_out,1/4/21,0.0
norsk,1/4/21,0.0
read,1/4/21,0.0
dvorak,1/5/21,0.67
python,1/5/21,3.25
python,1/5/21,2.5
dvorak,1/5/21,0.5
read,1/5/21,0.75
work_out,1/5/21,0.0
cfa,1/5/21,0.0
norsk,1/5/21,0.0
dvorak,1/5/21,0.5
norsk,1/6/21,0.45
python,1/6/21,2.75
python,1/6/21,3.5
work_out,1/6/21,0.0
cfa,1/6/21,0.0
dvorak,1/6/21,0.57
read,1/6/21,0.0
norsk,1/7/21,1.48
python,1/7/21,2.18
python,1/7/21,1.63
norsk,1/7/21,0.54
dvorak,1/7/21,0.72
norsk,1/8/21,2.0
dvorak,1/8/21,0.933
dvorak,1/8/21,1.0833
cfa,1/7/21,0.0
cfa,1/8/21,0.0
read,1/7/21,0.0
read,1/8/21,0.0
work_out,1/7/21,0.0
work_out,1/8/21,0.0
python,1/8/21,0.5
python,1/9/21,4.33
cfa,1/9/21,0.0
norsk,1/9/21,0.0
read,1/9/21,0.0
work_out,1/9/21,0.0
dvorak,1/9/21,2.0
python,1/9/21,1.5
games,1/9/21,0.0
games,1/7/21,0
games,1/6/21,0
