Subject,Date,Hours
work_out,2021-03-20,1.0
python,2021-02-19,7.0
sysadmin,2021-02-19,1.19
colemak,2021-02-20,0.91
python,2021-02-20,8.22
dvorak,2021-02-20,1.03
js,2021-02-21,0.8
bash_scripting,2021-02-21,6.48
dvorak,2021-02-22,0.5
colemak,2021-02-22,0.73
html,2021-02-22,0.8
html,2021-02-23,1.44
python,2021-02-23,1.9
html,2021-02-24,2.14
dvorak,2021-02-26,0.34
colemak,2021-02-26,1.05
bash_scripting,2021-02-26,0.83
python,2021-02-28,2.5
python,2021-02-28,3.0
python,2021-03-01,0.28
bash_scripting,2021-03-01,1.1
python,2021-03-01,1.11
dvorak,2021-03-02,1.25
python,2021-03-02,2.1
dvorak,2021-03-03,1.06
python,2021-03-03,2.33
python,2021-03-04,4.5
python,2021-03-04,2.99
sysadmin,2021-03-05,1.18
dvorak,2021-03-06,0.5
python,2021-03-06,2.75
dvorak,2021-03-07,0.98
python,2021-03-07,4.17
python,2021-03-07,0.72
python,2021-03-08,4.24
dvorak,2021-03-08,0.5
python,2021-03-10,1.3
sysadmin,2021-03-10,1.48
dvorak,2021-03-12,0.7
python,2021-03-12,3.24
work_out,2021-03-15,1.0
python,2021-03-15,2.61
work_out,2021-03-16,1.0
dvorak,2021-03-16,0.5
dvorak,2021-03-17,0.5
sysadmin,2021-03-17,1.54
python,2021-03-17,1.3
work_out,2021-03-17,1.0
sysadmin,2021-03-18,0.86
work_out,2021-03-18,1.0
dvorak,2021-03-18,0.39
python,2021-03-19,1.11
python,2021-03-20,4.27
python,2021-03-21,3.23
work_out,03/21/21,1
